"";"Gen_1";"Gen_2";"Gen_3";"Gen_4";"Gen_5";"Gen_6";"Gen_7";"Gen_8";"Gen_9";"Gen_10";"Gen_11";"Gen_12";"Gen_13";"Gen_14";"Gen_15";"Gen_16";"Gen_17";"Gen_18";"Gen_19";"Gen_20";"Gen_21";"Gen_22";"Gen_23";"Gen_24";"Gen_25";"Gen_26";"Gen_27";"Gen_28";"Gen_29";"Gen_30";"Gen_31";"Gen_32";"Gen_33";"Gen_34";"Gen_35";"Gen_36";"Gen_37";"Gen_38";"Gen_39";"Gen_40";"Gen_41";"Gen_42";"Gen_43";"Gen_44";"Gen_45";"Gen_46";"Gen_47";"Gen_48";"Gen_49";"Gen_50"
"mostra11";18,28;68,25;48,96;46,25;108,67;62,44;0;17,19;57,63;2,08;29,86;16,18;27,68;47,73;42,08;11,32;36,05;25,79;30,53;42,46;2,88;4,02;16;14,79;21,01;6,92;8,56;15,62;39,55;45,1;46,11;49,86;44,22;44,85;38,34;4,51;26,35;53,83;33,21;6,72;1,85;50,74;9,56;49,52;43,81;28,35;67,18;0;19,76;0
"mostra12";5,04;0,84;50,17;54,19;85,82;63,8;0;22,31;2,42;18,42;1,46;26,79;3,29;49,56;18,93;10,19;43,6;20,5;18,68;22,26;32,14;27,14;33,71;19,91;22,55;26,4;84,81;4,04;4,62;50,23;43,53;53,39;60,03;24,07;4,68;28;4,13;51,62;44,73;23,69;33,12;53,11;7,25;30,76;24,46;28,65;74,16;0;32,23;0
"mostra13";5,82;7,24;54,06;45,41;29,21;61,21;0;85,51;13,03;3,36;11,24;28,11;7,04;50,2;9,62;20,91;37,02;29,9;9,09;51,02;11,79;10,47;88,84;25,75;23,71;15,39;12,21;28,7;49,87;55,43;46,1;50,9;56,18;8,58;12,31;13,11;11,06;46,32;41,34;9,53;60,1;38,37;10,24;28,73;35,31;34,55;76,62;0;20,85;0
"mostra14";2,35;10,28;62,01;44,89;15,53;65,28;0;37,18;5,09;27,07;44,77;22,97;15,72;52,74;3,04;18,3;40,58;22,78;3,12;20,59;27,34;0,98;7,86;21,61;5,31;0,15;1,77;27,48;14,9;44,91;50,06;60,53;58,17;3,06;4,84;9,01;41,8;55,73;44,66;2,43;11,13;47,39;24,94;2,49;25,06;3,43;73,97;0;5,64;0
"mostra15";30,87;26,58;53,23;45,7;10,94;68,75;0;39,61;50,95;24,67;4,52;34,42;12,82;48,87;6,49;14,78;37,86;29,46;33,72;27,93;28,25;13,42;66,99;49,76;45,7;7,1;20,98;13,97;11,58;48,67;49,24;49,44;40,81;23,36;38,59;0,66;14,6;48,61;43,89;7,77;11,34;46,98;15,07;14,34;29,26;29,33;66,17;0;6,11;0
"mostra16";8,05;25,62;52,71;36,49;21,36;59,31;0;6,01;2,91;19,17;19,35;37,73;4,94;51,97;27,1;25,17;49,22;26,01;9,7;56,98;10,23;8,53;2,11;20,12;0,11;9,83;0,66;36,35;41,17;46,23;46,48;47,92;52,31;28,03;1,06;3,06;18,11;55,28;41,56;7,6;40,2;47,45;10,84;20,92;2,87;28,1;59,16;0;6,38;0
"mostra17";12,29;45,76;53,51;42,22;71,42;66,78;0;3,17;11,6;3,65;4,79;29,15;36,57;50,62;16,76;7,86;38,9;28,41;33,68;17,83;8,05;11,1;4,33;27,42;20,34;3,66;13,23;44;1,72;46,37;55,94;59,9;59,78;12,84;13,74;18,33;33,71;51,84;55,18;7,37;11,63;53,34;27,26;70,77;25,04;26,38;69,54;0;2,88;0
"mostra18";0,38;10,8;44,31;35,88;21,59;65,55;0;17,83;18,93;5,21;6,56;16,28;5,81;50,81;8,35;18,1;45,64;17,86;0,17;5,63;88,39;8,2;4,02;46,67;33,95;12,73;0,23;60,21;6,47;43,83;51,7;54,16;64,2;2,38;19,42;59;4,24;54,24;45,72;38,77;27,03;39,41;16,37;14,36;40,79;16,82;63,11;0;6,31;0
"mostra19";5,99;34,31;50,03;35,93;6,77;62,06;0;33,92;0,77;10,61;85,98;10,9;2,75;43,63;0,86;115,92;42,73;26,81;14,34;3,12;6,56;18,11;13,58;25,55;51,83;26,93;11,69;30,43;35,49;57,83;52,53;67,6;55,76;14,06;9,03;4,23;13,16;43,69;39,97;15,4;59,09;50,23;14,87;1,12;5,41;10,5;63,79;0;4,62;0
"mostra20";6,26;76,08;43,7;39,99;2,9;60,71;0;0,49;0,07;13,21;2,86;12,04;10,8;44,11;12,3;14,33;43,23;29,62;8,25;108,73;17,93;18,23;23,32;18,13;35,06;35,79;3,04;43,62;14,62;55,89;48,53;57,94;55,1;43,8;7,01;53,38;2,53;52,64;45,66;16,84;10,28;47,83;88,01;0,13;16,57;8,65;68,2;0;13,02;0
"mostra21";8,25;2,73;43,74;43,03;1,98;55,87;0;8,34;5,42;3,71;37,37;15,8;19,11;50,63;5,73;42,54;37,44;20,68;20,65;19;1,96;2,05;3,98;1,15;9;12,38;21,17;6,11;2,24;46,19;51,12;55,02;57,35;10,5;35,66;41,55;8,05;55,45;45,63;3,44;34,22;42,25;87,87;6,85;27,1;7,75;69,91;0;0,5;0
"mostra22";24,99;19;47,81;39,06;10,6;55,05;0;1,72;81,43;11,15;8,43;1,32;0,75;58,71;70,74;6,19;47,66;31,28;24,74;32,42;4,71;38,23;6,46;25,15;31,01;6,84;17,56;9,41;15,33;45,86;60,04;55,43;49,62;18,04;52,87;8,35;35,63;46,5;47,29;19,77;5,06;54,36;2;11,44;9,24;2,87;76,93;0;18,61;0
"mostra23";22,11;4,25;50,85;50,34;3,84;64,65;0;7;53,07;124,73;9,61;5,23;11,73;47,07;18,85;23,03;40,68;31,37;55,59;2,88;4,79;32,74;17,69;48,08;1,57;2,69;22,26;51,94;20,36;43,98;55,06;58,24;55,73;24,31;28,02;25,19;38,94;57,11;44,99;14,8;8,51;50,24;1,68;20,37;14,07;5,89;65,64;0;10,29;0
"mostra24";19,37;15,01;46,87;34,45;24,34;65,02;0;9,35;22,51;22,23;43,09;3,96;26,35;47,77;31,18;49,44;39,8;17,7;14,45;0,13;1,51;8,85;46,42;3,72;3,05;2,29;5,38;5,37;5,4;48,39;48,49;50,97;58,61;9,16;25,51;3,81;27,4;57,2;59,83;33,49;59,66;50,85;13,57;43,95;14,46;27,05;77,41;0;3,88;0
"mostra25";9,14;25,55;58,15;41,26;38,07;62,19;0;22,74;38,78;39,76;23,58;2,26;31,32;49,57;8,83;19,3;33,94;19,69;13,6;19,87;24,26;12,31;9,77;0,39;26,63;71,77;11,12;9,23;15,09;56,72;44,87;59;58,31;33,07;21,69;8,03;15,66;43,52;42,71;4,11;5,53;50,37;5,51;3,02;8,03;7,91;72,52;0;2,28;0
"mostra26";14,46;12,68;42,27;47,31;2,59;55,24;0;11,41;2,02;5,97;12,04;13,99;16,3;51,4;28,1;45,11;44,23;14,75;35,98;7,55;6,53;39,55;2,1;4,57;18,53;9,16;13,22;8,23;15,02;46,42;48,66;58,38;54,54;30,45;12,34;36,92;10,93;45,51;42,08;16,41;33,83;51,44;17,95;1,33;52,07;34,04;69,79;0;18,14;0
"mostra27";0,19;1,45;49,07;41,71;14,54;61,85;0;19,4;57,9;18,41;0,31;47,21;1,39;50,54;6,06;15,11;32,15;24,31;5,78;83,28;6,93;40,14;33,6;11,88;33,04;31,26;11,57;0,31;10,99;55,64;49;56,02;57,71;15,69;20,36;14,66;3,11;40,58;37,81;21,52;23,41;47,83;10,41;80,57;3,26;16,09;61,09;0;49,87;0
"mostra28";7,28;10,38;55,13;42,12;25,67;65,75;0;12,51;5,84;1,62;15,99;37,96;13,92;49,97;0,15;3,95;42,73;19,64;28,45;9,44;23,1;20,37;7,99;21,55;2,26;12,4;11,09;35,27;25,36;51,12;50,66;61,62;55,84;14,88;45,86;9,38;28,05;50,14;36,8;50,84;1,2;49,27;57,8;20,32;9,81;3,44;72,69;0;2,54;0
"mostra29";7,82;22,41;49,52;42,04;6,42;57,92;0;3,28;20,09;33,25;7,58;29,8;23,97;58,72;9,93;4,38;41,19;15,93;70,31;29,37;5,84;0,98;39,3;6,58;37,24;10,32;4,6;28,2;7,27;48,43;50,73;49,04;60,77;0;10,7;1,41;16,26;45,46;35,85;9,35;45,27;45,22;14,91;49,4;0,96;68,26;71,53;0;36,24;0
"mostra30";34,38;12,5;49,94;55,16;7,25;65,63;0;5,51;14,49;0,59;6,02;8;1,92;49,69;9,51;33,67;35,27;25,43;8,68;72,66;1,76;20,25;45,87;65,13;4,31;0,23;13,21;8,63;5,43;39,62;51,81;52,4;54,77;139,06;51;41,49;5,09;41,76;45,48;0,53;13,05;37,92;4,37;11,96;2,38;16,92;70,1;0;19,52;0
"mostra31";0,42;12,03;49,85;48,87;20,85;55,92;0;5,41;23,28;20,81;43,85;9,92;9,31;37,33;17,5;6,5;37,46;27,38;16,19;12,71;5,51;35,17;13,08;15,46;2,06;21,2;61,27;1,29;0,22;49,89;53,37;53,7;57,56;21,25;6,74;43,55;43,15;51,26;43,47;19,03;24,22;51,52;0,38;12,26;1,5;6,61;64,96;0;28,69;0
"mostra32";16,52;14,93;62,97;34,61;7,08;60,62;0;2,19;29,25;8,37;3,71;5,26;0,47;51,97;10,54;22,65;38,28;22,44;34,41;18,55;14,56;36,24;48,57;37,09;37,61;28,6;28,53;10,4;4,71;45,87;60,36;60,91;65,18;14,85;20,16;59,08;12,2;53,21;51,86;2,19;38,43;43,43;5,77;27,19;28,25;33,36;72,27;0;23,12;0
"mostra33";1,39;6,51;56,68;48,15;18,28;57,35;0;2,25;35,48;1,02;0,58;44,81;36,09;53,34;5,44;24,44;39,6;21,6;5,14;8,9;0,61;8,19;10,63;2,41;7,6;1,19;12,05;14,64;22,61;42,82;47,29;63,95;51,02;32,1;4,71;6,88;7,99;48,27;50,55;0,3;38,34;49,07;25,37;34,81;2,46;13,69;66,28;0;14,07;0
"mostra34";8,86;14,2;42,43;47,75;8,64;60,68;0;2,39;9,6;31,34;6,46;29,15;22,37;49,11;71,83;119,73;46,46;26,16;24,3;22,2;5,14;12,39;29,22;10,16;25,24;13,6;10,26;22,55;16,82;45,69;44,65;63,25;54,54;12,92;6,58;3,96;4,5;47,42;39,62;88,63;19,7;48,7;7,26;3,33;27,38;19,91;67,24;0;6,59;0
"mostra35";4,82;12,35;55,96;41,85;4,03;71,49;0;9,97;29,11;0,61;44,59;60,92;64,94;48,02;64,75;38,18;48,83;28,94;18,65;13,91;1,63;32,67;34,46;2,23;7,8;29,59;14,86;14,87;17,8;49,46;48,14;50,96;58,7;7,17;15,57;8,24;36,17;51,99;55,93;29,44;9,75;46,66;12,98;6,59;28,3;8,76;72,19;0;12,09;0
"mostra36";9,4;20,89;55,56;38,16;30,17;59,92;0;18,83;3,17;11,82;30,93;26,12;36;47,4;22,93;26,19;37,31;25,47;6,14;37,29;61,59;1,22;6,38;44,13;5,42;4,12;13,83;7,67;6,09;40,31;47,57;66,83;60,99;24,16;3,91;13,17;5,03;54,77;50,08;24,86;0,59;54,09;5,15;5,58;13,56;33,46;63,77;0;5,76;0
"mostra37";14,28;5,19;49,67;38,35;38,2;56,73;0;22,58;5,56;5,05;46,74;11,69;23,67;54,39;63,5;3,57;43,99;13,92;22,15;23,39;4,47;15,8;27,75;13,88;5,5;20,59;23,2;9,2;0,28;46,37;51,37;57,75;71,58;0,65;4,75;30,68;12,92;51,3;49,87;10,52;3,7;38,55;42,44;3,8;25,59;8,86;70,83;0;62,25;0
"mostra38";0,67;10,95;45,97;40,94;22,21;58,89;0;16,64;1,55;36,71;7,73;37,72;19,94;47,3;48,89;2,29;39,8;25,61;44,94;4,28;30,36;13,87;2,09;8,64;16,35;31,86;18,47;1,01;16,43;43,11;47,6;59,96;59,59;29,58;47,13;5,32;16,65;39,75;45,24;4;5,88;50,23;4,33;53,07;6,53;58,68;68,59;0;6,22;0
"mostra39";103,8;29,83;46,17;42,62;27,73;63,16;0;14,72;9,54;2,93;8,74;26,35;18,98;56,82;56,73;14,2;40,83;25,98;58,39;11,44;70,46;98,03;31,03;28,12;11,9;8,9;3,04;6,16;20,38;51,83;53,99;51,6;52,6;1,23;2,58;5,76;1,44;51,44;36,4;0,31;10,68;51,84;21,13;13,81;6,95;0,52;70,79;0;3,13;0
"mostra40";48,05;4,04;48,75;35,34;25,15;66,59;0;8,7;52,48;10,13;12,84;17,08;25,94;58,33;32,66;2,06;35,91;15,74;5,24;27,51;58,99;15,47;0,09;18,01;17,58;1,59;19,97;1,08;29,37;51,78;44,98;59,05;55,8;17,9;16,15;4,25;2,54;51,81;51,15;15,19;28,38;50,21;1,81;4,05;27,79;1,34;82,76;0;11,18;0
"mostra41";6,87;28,9;50,44;35,23;5,94;62,53;0;5,72;1,06;13,55;50;49,11;23,71;48,82;18,05;0,29;35,11;30,41;46,83;21,69;173,87;43,48;47,15;1,64;10,45;11,7;9,65;3,96;3,81;54,74;50,52;55,29;47,83;0,83;39,68;4,1;39,64;41,57;43,27;13,33;2,52;46,29;39,13;10,72;11,3;18,08;80,72;0;22,13;0
"mostra42";4,16;61,42;43,16;43,71;46,82;67,34;0;21,39;9,41;26,76;7,08;29,69;34,18;52,48;6,45;9,15;30,29;15,32;6,08;35,38;39,33;4,95;62,47;23,96;36,01;64,69;19,36;5;20,04;43,89;44,22;45,03;66,73;18,05;46,58;14,67;9,72;56,24;51,68;17,29;3,08;48,79;9,88;0,95;19,43;4,51;67,49;0;3,23;0
"mostra43";63,52;12,06;43,05;42,96;97,43;68,71;0;3,87;55,92;2,41;18,66;14,25;8,11;45,61;3,74;38,64;43,11;25,29;15,44;1,76;10,33;41,82;36,82;23,93;5,84;7,9;23,36;4,06;3,59;50,82;52,89;60,52;49,05;33,97;8,97;7,36;51,38;41,15;39,85;0,95;11,95;43,12;12,34;45,66;4,44;35,67;66,64;0;66,75;0
"mostra44";48,07;18,38;51,53;43,26;16,18;71,03;0;13,58;20,36;8,21;8,55;16,51;7,26;49,24;30,67;0,15;43,39;21,37;42,36;27,27;10,49;6,01;3,27;5,41;11,52;12,31;27,8;36,92;3,18;47,87;42,02;62,89;58,78;17,72;12,91;2,34;7,02;51,11;43,3;16,6;5,06;43,22;11,58;35,25;8,07;3,93;70,54;0;18,77;0
"mostra45";10,76;39,05;50,78;41,28;18,18;70;0;29,72;16,7;18,62;2,26;10,65;0,06;55,69;3,57;1,55;39,85;21,63;5,34;7,09;42,87;8,26;1,75;6,59;63,33;2,44;10,25;3,8;12,9;50,4;48,46;53,08;58,69;11,37;17,11;29,13;8,09;47,2;45,27;2,97;1,82;52,22;6,93;11,54;16,25;1;71,67;0;19,83;0
"mostra46";27,3;57,14;51,07;39,17;3,37;63,38;0;20,14;1,65;25,02;1,43;5,67;5,7;38,58;6,93;10,26;32,77;19,48;10,86;42,66;0,9;59;26,2;18,22;22,7;57,21;56,35;80,41;14,22;42,97;52,25;49,9;63,38;33,67;8,71;23,19;0,62;47,46;49,58;2,12;2,61;56,01;22,18;16,72;22,22;25,01;65,92;0;3,31;0
"mostra47";60,01;9,6;49,1;50,89;36,81;58,67;0;13,45;32,92;10,06;0,94;31,07;10,55;58,26;9,95;7,08;36,31;32,35;56,57;35,03;33,9;0,57;18,2;16,26;22,05;26,72;8,87;17,67;10,93;49,76;45,11;57;57,94;18,63;15,98;16,7;7,99;45,31;48,29;1,38;1,34;52,27;4,59;65,78;2,34;0,66;64,5;0;21,13;0
"mostra48";4,26;15,78;46,99;47,61;4,59;53,95;0;31,51;4,55;19,66;9,37;2,19;1,6;55,8;26,2;9,11;38,15;20,91;9,71;13,98;9,09;35,58;4,56;20,41;5,37;10,57;3,37;21,33;43,5;49,79;50,95;50,11;56,07;5,48;8,77;6,15;0,57;58,18;43,39;6,29;13,38;52,15;38,34;13,99;25,47;9,4;68,55;0;28,32;0
"mostra49";1,32;4,49;58,7;48,73;11,94;66,1;0;1,31;3,3;20,04;30,46;5,18;4,55;45,59;3,79;20,6;43,73;28,37;22,46;8,39;17,3;7,01;52,57;27,17;2,87;35,25;14,4;15,36;1,91;42,57;53,66;52,73;56,67;8,62;0,92;0,88;12,66;46,74;43,68;41,98;12,12;49,36;3,88;10,03;16,47;22,93;73,42;0;44,81;0
"mostra50";2,49;7,92;55,42;37,39;4,46;63,07;0;3,62;1,15;29,46;3,13;25,4;2,68;54,73;22,96;18,48;37,77;21,11;36,41;0,11;3,61;2,41;6,1;26,28;17,04;3,49;5,77;8,21;0,6;50,78;47,54;54,44;61,76;9,63;25,79;5,58;6;54,2;49,91;1,89;26,35;43,65;16,25;22,58;22,93;35,24;66,96;0;2,99;0
"mostra51";20,68;21,67;56,54;44,59;58,57;63,85;0;29,66;53,52;24,75;30,2;0,94;17,09;50,49;15,47;11,88;36,61;22,31;28,52;0,71;13,42;34,43;8,73;35,29;21,26;10,8;26,28;16,6;11,59;45,02;49,79;69,17;52,9;0,56;61,95;22,19;13,81;46,94;41,56;0,46;4,31;55,39;8,27;19,79;5,81;13,53;63,96;0;27,62;0
"mostra52";9,91;11,27;45,2;34,36;42,41;52,95;0;42,23;46,76;0,9;17,91;2,65;11,57;35,31;11,26;10,14;45,58;21,6;123,4;49,25;30,72;7,72;40,79;3,57;59,68;8,46;20,37;17,57;41,48;57,66;49,44;58,68;61,03;7,17;28,93;10,15;80,91;48,14;48,1;16;29,21;44,27;23,81;29,37;15,65;36,04;66,21;0;47,3;0
"mostra53";0,19;8,52;52,4;48,18;7,02;60,74;0;12,5;82,36;92,94;29,19;5,84;16,24;49,9;56,42;15,02;44,07;22,46;26,79;1,95;14,62;55,41;6,57;10,76;13,18;8,88;5,91;1,46;5,05;53,9;52,28;53,12;51,41;2,84;35,39;13,19;18,47;47,42;46,47;81,68;15,03;47,39;12,42;63,29;100,55;13,25;69,1;0;61,16;0
"mostra54";1,99;16,42;42,17;47,19;23,78;58,38;0;22,04;47,68;19,45;20,97;17,81;6,86;51,95;20,55;28,97;39,74;27,59;6,74;32,89;4,45;2,53;9,3;9,83;23,59;37,24;8,46;5,49;0,27;45,52;60,1;60,91;57,18;105,26;12,04;0,25;7,41;48,29;57,73;9,56;25,03;48,59;26,44;29,93;15,26;3,55;74,96;0;8,72;0
"mostra55";10,08;3,73;55,99;42,32;1,89;60,54;0;38,3;7,49;28,59;8,41;37,8;14,14;40,29;0,35;16,22;39,92;28,16;7,2;68,08;5,39;9,6;12,11;0,39;4,2;24,89;43,44;18,47;25,51;50,3;44,75;59,21;57,26;6,64;42,11;0,85;55,84;53,42;50,96;0,26;27,15;48,62;21,77;5,12;26,91;4,07;73,81;0;16,21;0
"mostra56";16,19;13,79;55,01;40,73;11,69;64,34;0;13,02;55,63;60,14;51,29;0,92;86,58;46,81;4,77;2,42;42,15;20,17;3,59;0,3;7,17;15,21;2,65;18,35;13,24;7,95;2,38;34,63;0,96;45,26;53,67;66,16;57,39;11,6;24,53;12,13;69,52;53,99;37,74;23,25;34,69;51,79;46,96;4,36;77,68;2,46;69,59;0;9,15;0
"mostra57";5,45;43,63;50,14;47,52;3,36;51,01;0;13,65;42,75;1,42;15,86;94,22;12,11;48,46;55,95;4,83;32,86;25,32;17,89;21,98;2,96;16,66;30,78;28,72;17,42;18,95;1,67;0,3;2,56;43,09;52,7;59,69;49,05;43,41;4,79;2,22;21,1;46;45,81;6,3;1,39;40,2;8,49;39,98;7,6;1,01;75,89;0;44,46;0
"mostra58";2,08;27,45;48,54;40,86;9,47;53,03;0;43,51;1,38;12,87;5,63;4,3;9,21;53,65;5,4;72,52;37,72;32,64;18,04;34,29;6,72;1,66;4,49;6,08;7,76;75,51;19,93;0,23;43,21;38,12;43,43;55,65;55,02;84,16;36,47;7,57;14,11;51,15;49,52;6,43;0,86;50,99;42,99;0,25;38,47;5,64;76,12;0;8,88;0
"mostra59";15,24;47,66;55,33;44,83;22,91;57,06;0;2,22;29,94;34,2;34,95;28,2;16,29;45,23;1,77;0,63;45,25;20,33;14,81;59,24;9,35;88,35;18,13;9,64;29,05;4,52;14,57;34,28;32,28;51,35;48,75;54,6;60,94;11,54;16,41;29,27;19,57;58,47;35,37;21,19;4,45;50,16;2,62;17,27;44,49;11,96;76,17;0;0,76;0
"mostra60";31,53;14,45;48,68;37,48;40,76;65,49;0;24,67;11,02;9,03;33,42;9,35;33,17;54,29;2,02;13,03;35,86;16,46;34,56;17,46;2,12;35,06;1,68;4,56;3,61;40,53;22,64;9,94;5;58,48;51,57;56,25;58,04;14,21;8,06;39,82;0,3;46,16;53,69;12,87;0,05;50,37;18,43;51,73;29,72;2,1;63,23;0;4,15;0
"mostra61";17,1;5,42;52,65;34,62;7,25;55,62;0;41,27;19,31;17,82;68,38;2,07;49,81;42,59;38,08;1,12;41,48;17,57;83,49;11,9;1,61;52,93;17,59;58,23;17,3;10,95;0,91;32,71;68,38;47,43;52,03;58,61;59,4;41,69;3,72;2,33;17,56;42,28;44,64;7,45;2,49;51,59;13,3;17,47;15,86;41,42;68,69;0;9,19;0
"mostra62";5,92;33,95;45,29;43,4;2,32;60,47;0;35,8;2,24;5,52;11,89;0,82;35,98;45,35;44,33;8,17;31,88;20,79;10,4;15,07;85,43;6,27;14,27;14,78;12,82;9,15;11,99;59,07;19,55;50,07;54,97;61,91;54,9;44,76;2,6;10,19;6,37;43,4;41,42;8,49;0,05;48,79;43,97;3,89;1,56;20,71;72,74;0;2,33;0
"mostra63";13,13;1,95;42,44;41,65;2,7;62,33;0;7,03;2,52;72,27;46,4;14,77;7,21;44,92;11,26;94,58;35,9;22,34;12,17;7,56;42,7;14,29;151,58;42,61;5,81;22,03;11,21;0,93;42,51;43,3;54,28;54,56;55,46;3,13;36,54;11,07;14,48;46,62;44,2;75,16;52,2;54,3;12,68;1;10,97;29,91;62,12;0;7,83;0
"mostra64";4,28;2,39;51,22;40,66;16,28;53,56;0;12,15;22,23;9,64;13,01;2,56;1,51;48,94;14,61;22,48;47,48;21,6;38,47;5,24;12,28;20,59;14,63;5,12;14,98;24,68;0,85;20,4;5,08;41,07;50,99;52,06;49,81;19,3;14,71;5,57;16,68;48,16;37,43;41,64;28,9;50,8;42,59;0,82;25,52;0,49;68,29;0;10,01;0
"mostra65";13,66;7,83;49,46;37,43;72,77;57,26;0;48,75;12,09;1,3;54,12;3,86;2,79;58,26;6,57;6,64;37,91;19,38;23,37;26,38;16,61;9,58;15,8;4,58;13,24;16,64;28,11;32,94;1,63;42,72;54,17;55,39;64,6;6,41;19,37;11,72;11,92;47,43;44,12;7,03;48,39;45,96;15,23;19,02;18,17;0,72;65,72;0;0,62;0
"mostra66";3,09;25,59;48,48;43,3;14,49;60,04;0;10,75;11,7;33,71;5,88;15,68;2,78;53,63;12,26;83,89;44,64;23,56;19,3;28,64;90,75;27,33;20,72;13,65;101,98;11,06;7,81;30,43;0,9;47,85;54,23;58,21;49,16;82,95;60,48;29,62;16,82;45,2;52,56;1,2;37,19;48,68;20,52;11,93;3,83;33,59;72,25;0;66,89;0
